




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
COPII-coated vesicle budding (GO:0090114)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis (GO:0090113)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
COPII-coated vesicle cargo loading (GO:0090110)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H2A K63-linked deubiquitination (GO:0070537)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
protein K63-linked deubiquitination (GO:0070536)	30	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H2A K63-linked ubiquitination (GO:0070535)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein K63-linked ubiquitination (GO:0070534)	43	0	.03	-	 < 0.01	1.00E00	1.00E00
equilibrioception (GO:0050957)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
thermoception (GO:0050955)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
sensory perception of mechanical stimulus (GO:0050954)	197	0	.13	-	 < 0.01	1.00E00	1.00E00
sensory perception of temperature stimulus (GO:0050951)	30	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell-substrate junction assembly (GO:0090109)	63	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of high-density lipoprotein particle assembly (GO:0090108)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
animal organ formation (GO:0048645)	41	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of high-density lipoprotein particle assembly (GO:0090107)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
muscle organ morphogenesis (GO:0048644)	89	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle tissue development (GO:0048643)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle tissue development (GO:0048642)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
pancreatic epsilon cell differentiation (GO:0090104)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle tissue development (GO:0048641)	32	0	.02	-	 < 0.01	1.00E00	1.00E00
cochlea morphogenesis (GO:0090103)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of developmental growth (GO:0048640)	127	0	.09	-	 < 0.01	1.00E00	1.00E00
cochlea development (GO:0090102)	49	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	118	0	.08	-	 < 0.01	1.00E00	1.00E00
protein kinase C signaling (GO:0070528)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
small molecule biosynthetic process (GO:0044283)	444	0	.30	-	 < 0.01	1.00E00	1.00E00
platelet aggregation (GO:0070527)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
small molecule catabolic process (GO:0044282)	288	0	.20	-	 < 0.01	1.00E00	1.00E00
small molecule metabolic process (GO:0044281)	1420	0	.97	-	 < 0.01	6.19E-01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
response to ceramide (GO:0106096)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of pigment cell differentiation (GO:0050942)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of muscle organ development (GO:0048636)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
glial cell projection elongation (GO:0106091)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle organ development (GO:0048635)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of muscle organ development (GO:0048634)	56	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle tissue growth (GO:0048633)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle tissue growth (GO:0048632)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle tissue growth (GO:0048631)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
skeletal muscle tissue growth (GO:0048630)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cell wall disruption in other organism (GO:0044278)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular carbohydrate catabolic process (GO:0044275)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur compound catabolic process (GO:0044273)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur compound biosynthetic process (GO:0044272)	80	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular nitrogen compound biosynthetic process (GO:0044271)	1106	0	.75	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H4-K20 methylation (GO:0070512)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of histone H4-K20 methylation (GO:0070510)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell adhesion involved in sprouting angiogenesis (GO:0106089)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cell adhesion involved in sprouting angiogenesis (GO:0106088)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of pigment cell differentiation (GO:0050932)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
pigment cell differentiation (GO:0050931)	33	0	.02	-	 < 0.01	1.00E00	1.00E00
myoblast development (GO:0048627)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
induction of positive chemotaxis (GO:0050930)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
myoblast fate commitment (GO:0048625)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic digestive tract morphogenesis (GO:0048621)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol ether catabolic process (GO:0044269)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex remodeling (GO:0001120)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion import (GO:0070509)	48	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular polysaccharide metabolic process (GO:0044264)	75	0	.05	-	 < 0.01	1.00E00	1.00E00
cholesterol import (GO:0070508)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	154	0	.11	-	 < 0.01	1.00E00	1.00E00
cellular carbohydrate metabolic process (GO:0044262)	151	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA-dependent DNA replication initiation (GO:0032298)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
poly-gamma-glutamate metabolic process (GO:0070500)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
induction of negative chemotaxis (GO:0050929)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of positive chemotaxis (GO:0050928)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system axon ensheathment (GO:0032292)	32	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of positive chemotaxis (GO:0050927)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
axon ensheathment in central nervous system (GO:0032291)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of positive chemotaxis (GO:0050926)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system myelin formation (GO:0032290)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of negative chemotaxis (GO:0050925)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone succinylation (GO:0106077)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of negative chemotaxis (GO:0050924)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA modification (GO:1900864)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of negative chemotaxis (GO:0050923)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic hindgut morphogenesis (GO:0048619)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of chemotaxis (GO:0050922)	56	0	.04	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of chemotaxis (GO:0050921)	150	0	.10	-	 < 0.01	1.00E00	1.00E00
embryonic foregut morphogenesis (GO:0048617)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of chemotaxis (GO:0050920)	229	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106072)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106071)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106070)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic ectodermal digestive tract morphogenesis (GO:0048613)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription open complex formation at RNA polymerase II promoter (GO:0001113)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription open complex formation (GO:0001112)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic ectodermal digestive tract development (GO:0048611)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intestinal lipid catabolic process (GO:0044258)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
central nervous system myelin formation (GO:0032289)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
myelin assembly (GO:0032288)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
peripheral nervous system myelin maintenance (GO:0032287)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
central nervous system myelin maintenance (GO:0032286)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative chemotaxis (GO:0050919)	43	0	.03	-	 < 0.01	1.00E00	1.00E00
positive chemotaxis (GO:0050918)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
sensory perception of umami taste (GO:0050917)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
sensory perception of sweet taste (GO:0050916)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
sensory perception of sour taste (GO:0050915)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
sensory perception of bitter taste (GO:0050913)	51	0	.03	-	 < 0.01	1.00E00	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	52	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cobalamin metabolic process (GO:0106064)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	32	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of mechanical stimulus involved in sensory perception of sound (GO:0050910)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular biosynthetic process (GO:0044249)	2017	0	1.38	-	 < 0.01	3.89E-01	1.00E00
negative regulation of exit from mitosis (GO:0001100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular polysaccharide catabolic process (GO:0044247)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular lipid catabolic process (GO:0044242)	182	0	.12	-	 < 0.01	1.00E00	1.00E00
lipid digestion (GO:0044241)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of gonadotropin secretion (GO:0032278)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of gonadotropin secretion (GO:0032277)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of gonadotropin secretion (GO:0032276)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
luteinizing hormone secretion (GO:0032275)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
gonadotropin secretion (GO:0032274)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
sensory perception of taste (GO:0050909)	71	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein polymerization (GO:0032273)	116	0	.08	-	 < 0.01	1.00E00	1.00E00
detection of light stimulus involved in visual perception (GO:0050908)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein polymerization (GO:0032272)	76	0	.05	-	 < 0.01	1.00E00	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	89	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of protein polymerization (GO:0032271)	231	0	.16	-	 < 0.01	1.00E00	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	174	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcineurin-mediated signaling (GO:0106058)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
neuromuscular process (GO:0050905)	179	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcineurin-mediated signaling (GO:0106057)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
diapedesis (GO:0050904)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcineurin-mediated signaling (GO:0106056)	36	0	.02	-	 < 0.01	1.00E00	1.00E00
leukocyte adhesive activation (GO:0050902)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
leukocyte tethering or rolling (GO:0050901)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
leukocyte migration (GO:0050900)	215	0	.15	-	 < 0.01	1.00E00	1.00E00
IMP salvage (GO:0032264)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP salvage (GO:0032263)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to osmotic stress (GO:0106049)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleotide salvage (GO:0032261)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
spermidine deacetylation (GO:0106048)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyamine deacetylation (GO:0106047)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine deglycation, glyoxal removal (GO:0106046)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine deglycation, methylglyoxal removal (GO:0106045)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine deglycation (GO:0106044)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of GABA-A receptor activity (GO:0106040)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sperm flagellum assembly (GO:0120316)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of secretory granule localization (GO:0032254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dense core granule localization (GO:0032253)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
secretory granule localization (GO:0032252)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane depolarization during cardiac muscle cell action potential (GO:1900827)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane depolarization during cardiac muscle cell action potential (GO:1900826)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of membrane depolarization during cardiac muscle cell action potential (GO:1900825)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
protein maturation by [4Fe-4S] cluster transfer (GO:0106035)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
protein maturation by [2Fe-2S] cluster transfer (GO:0106034)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron projection fasciculation (GO:0106030)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of pigmentation (GO:0120305)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleoside transport (GO:0032244)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleoside transport (GO:0032243)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nucleoside transport (GO:0032242)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleobase-containing compound transport (GO:0032241)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron projection retraction (GO:0106028)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleobase-containing compound transport (GO:0032240)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron projection organization (GO:0106027)	48	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of vesicle docking (GO:0106022)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of vesicle docking (GO:0106020)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP salvage (GO:0044209)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' AMP biosynthetic process (GO:0044208)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' UMP biosynthetic process (GO:0044205)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nucleobase-containing compound transport (GO:0032239)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine transport (GO:0032238)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
activation of store-operated calcium channel activity (GO:0032237)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of actin filament bundle assembly (GO:0032233)	67	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of actin filament bundle assembly (GO:0032232)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament bundle assembly (GO:0032231)	112	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic transmission, GABAergic (GO:0032230)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of inflammatory response to wounding (GO:0106016)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of inflammatory response to wounding (GO:0106015)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of inflammatory response to wounding (GO:0106014)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of synaptic transmission, GABAergic (GO:0032229)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic transmission, GABAergic (GO:0032228)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of synaptic transmission, dopaminergic (GO:0032227)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic transmission, dopaminergic (GO:0032226)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic transmission, dopaminergic (GO:0032225)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic transmission, cholinergic (GO:0032224)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of synaptic transmission, cholinergic (GO:0032223)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic transmission, cholinergic (GO:0032222)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA 5'-cap (guanine-N7)-methylation (GO:0106005)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intestinal hexose absorption (GO:0106001)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
riboflavin transport (GO:0032218)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomere maintenance via telomerase (GO:0032212)	31	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance via telomerase (GO:0032211)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance via telomerase (GO:0032210)	49	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance via recombination (GO:0032208)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance via recombination (GO:0032207)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomere maintenance (GO:0032206)	50	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance (GO:0032205)	34	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance (GO:0032204)	80	0	.05	-	 < 0.01	1.00E00	1.00E00
telomere formation via telomerase (GO:0032203)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomere assembly (GO:0032202)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
telomere maintenance via semi-conservative replication (GO:0032201)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
telomere organization (GO:0032200)	74	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of polysome binding (GO:1905698)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of polysome binding (GO:1905696)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphatidic acid biosynthetic process (GO:1905695)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidic acid biosynthetic process (GO:1905693)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nerve growth factor receptor activity (GO:0051394)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane repair (GO:1905684)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
inactivation of MAPKK activity (GO:0051389)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of neurotrophin TRK receptor signaling pathway (GO:0051388)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of neurotrophin TRK receptor signaling pathway (GO:0051387)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
modification of dendritic spine (GO:0098886)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of neurotrophin TRK receptor signaling pathway (GO:0051386)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
response to mineralocorticoid (GO:0051385)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic neurotransmitter receptor internalization (GO:0098884)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
response to glucocorticoid (GO:0051384)	80	0	.05	-	 < 0.01	1.00E00	1.00E00
synapse pruning (GO:0098883)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
kinetochore organization (GO:0051383)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
kinetochore assembly (GO:0051382)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of postsynaptic specialization structure (GO:0098880)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA localization to chromatin (GO:1990280)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of adaptive immune memory response (GO:1905676)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of adaptive immune memory response (GO:1905675)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of adaptive immune memory response (GO:1905674)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of lysosome organization (GO:1905673)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of lysosome organization (GO:1905672)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of lysosome organization (GO:1905671)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport to plasma membrane (GO:0098877)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	119	0	.08	-	 < 0.01	1.00E00	1.00E00
action potential propagation (GO:0098870)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to endosome (GO:1905668)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to endosome (GO:1905667)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to endosome (GO:1905666)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion import across plasma membrane (GO:1905665)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion import across plasma membrane (GO:1905664)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of telomerase RNA reverse transcriptase activity (GO:1905663)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomerase RNA reverse transcriptase activity (GO:1905662)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular oxidant detoxification (GO:0098869)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of telomerase RNA reverse transcriptase activity (GO:1905661)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
bone growth (GO:0098868)	31	0	.02	-	 < 0.01	1.00E00	1.00E00
intramembranous bone growth (GO:0098867)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to transition metal nanoparticle (GO:1990267)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to potassium ion starvation (GO:0051365)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
neutrophil migration (GO:1990266)	86	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
anti-Mullerian hormone signaling pathway (GO:1990262)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-mRNA catabolic process (GO:1990261)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of artery morphogenesis (GO:1905653)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of artery morphogenesis (GO:1905652)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of artery morphogenesis (GO:1905651)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide-mediated programmed cell death (GO:1901299)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide-mediated programmed cell death (GO:1901298)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
intestinal lipid absorption (GO:0098856)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901297)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone glutamine methylation (GO:1990258)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901296)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proprioception involved in equilibrioception (GO:0051355)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901295)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
signal clustering (GO:1990256)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidoreductase activity (GO:0051354)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidoreductase activity (GO:0051353)	55	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	175	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of ligase activity (GO:0051352)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	68	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to leucine starvation (GO:1990253)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of ligase activity (GO:0051351)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of double-strand break repair via single-strand annealing (GO:1901291)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of lyase activity (GO:0051350)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
proline import across plasma membrane (GO:1905647)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA methylation (GO:1905643)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA methylation (GO:1905642)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular detoxification of cadmium ion (GO:0098849)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
animal organ morphogenesis (GO:0009887)	1031	0	.70	-	 < 0.01	1.00E00	1.00E00
positive regulation of lyase activity (GO:0051349)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
